Date,Close,High,Low,Open,Volume,Ticker
,SAPPHIRE.NS,SAPPHIRE.NS,SAPPHIRE.NS,SAPPHIRE.NS,SAPPHIRE.NS,
2024-01-01,281.8500061035156,285.6700134277344,280.0199890136719,282.42999267578125,98025,SAPPHIRE
2024-01-02,281.2200012207031,283.44000244140625,279.20001220703125,281.8500061035156,69320,SAPPHIRE
2024-01-03,281.760009765625,282.9800109863281,279.80999755859375,281.2200012207031,127090,SAPPHIRE
2024-01-04,286.2799987792969,287.79998779296875,280.6000061035156,281.760009765625,1352785,SAPPHIRE
2024-01-05,284.6099853515625,288.0,281.42999267578125,287.6000061035156,1106180,SAPPHIRE
2024-01-08,279.92999267578125,285.4800109863281,279.1099853515625,284.6099853515625,472670,SAPPHIRE
2024-01-09,276.6600036621094,282.9800109863281,275.79998779296875,282.54998779296875,162165,SAPPHIRE
2024-01-10,287.8900146484375,288.7900085449219,277.5899963378906,279.79998779296875,2543370,SAPPHIRE
2024-01-11,283.2900085449219,288.6000061035156,282.010009765625,288.20001220703125,1081755,SAPPHIRE
2024-01-12,288.6300048828125,291.20001220703125,281.2699890136719,284.0,473415,SAPPHIRE
2024-01-15,288.6300048828125,288.6300048828125,288.6300048828125,288.6300048828125,0,SAPPHIRE
2024-01-16,284.8999938964844,287.7799987792969,280.67999267578125,284.1300048828125,237195,SAPPHIRE
2024-01-17,282.989990234375,284.3999938964844,281.95001220703125,282.20001220703125,119435,SAPPHIRE
2024-01-18,281.5299987792969,284.8399963378906,280.3999938964844,282.20001220703125,173345,SAPPHIRE
2024-01-19,284.80999755859375,285.55999755859375,283.0,284.20001220703125,60005,SAPPHIRE
2024-01-23,285.30999755859375,301.989990234375,282.1600036621094,294.3900146484375,462535,SAPPHIRE
2024-01-24,287.7799987792969,295.0,281.05999755859375,285.30999755859375,425035,SAPPHIRE
2024-01-25,284.9700012207031,288.9700012207031,284.0,287.6000061035156,130835,SAPPHIRE
2024-01-29,285.2200012207031,287.0299987792969,284.0199890136719,286.3999938964844,270565,SAPPHIRE
2024-01-30,286.8699951171875,290.9200134277344,282.3999938964844,285.6000061035156,658025,SAPPHIRE
2024-01-31,290.1099853515625,295.0,287.3399963378906,287.3399963378906,327575,SAPPHIRE
2024-02-01,288.3599853515625,295.0,285.9700012207031,290.1099853515625,172915,SAPPHIRE
2024-02-02,282.7200012207031,295.0,281.5199890136719,288.1099853515625,153120,SAPPHIRE
2024-02-05,280.2300109863281,284.07000732421875,277.5899963378906,284.07000732421875,573680,SAPPHIRE
2024-02-06,281.7900085449219,288.79998779296875,279.0799865722656,282.0,934085,SAPPHIRE
2024-02-07,275.1600036621094,285.75,273.010009765625,283.989990234375,721955,SAPPHIRE
2024-02-08,273.1700134277344,276.6000061035156,270.3999938964844,273.82000732421875,1039735,SAPPHIRE
2024-02-09,275.8900146484375,283.1600036621094,270.20001220703125,274.010009765625,1308000,SAPPHIRE
2024-02-12,275.2699890136719,277.6600036621094,270.5899963378906,276.0,144150,SAPPHIRE
2024-02-13,272.45001220703125,275.2699890136719,267.9599914550781,275.2699890136719,2784810,SAPPHIRE
2024-02-14,271.67999267578125,275.7900085449219,265.8699951171875,272.80999755859375,1048155,SAPPHIRE
2024-02-15,267.989990234375,271.6000061035156,265.79998779296875,271.6000061035156,473885,SAPPHIRE
2024-02-16,274.0199890136719,275.760009765625,266.80999755859375,266.80999755859375,395425,SAPPHIRE
2024-02-19,272.0,274.989990234375,270.1600036621094,274.989990234375,194220,SAPPHIRE
2024-02-20,281.6000061035156,284.5299987792969,272.0,273.3399963378906,699180,SAPPHIRE
2024-02-21,289.7799987792969,291.0,281.0,281.0,597575,SAPPHIRE
2024-02-22,289.94000244140625,292.3999938964844,279.44000244140625,290.9100036621094,733855,SAPPHIRE
2024-02-23,301.3999938964844,307.6000061035156,288.7699890136719,290.0,1690695,SAPPHIRE
2024-02-26,296.760009765625,306.3999938964844,295.0,302.010009765625,409105,SAPPHIRE
2024-02-27,299.6700134277344,302.989990234375,297.010009765625,297.010009765625,2020870,SAPPHIRE
2024-02-28,300.1600036621094,309.6000061035156,297.0400085449219,302.6700134277344,616520,SAPPHIRE
2024-02-29,300.42999267578125,304.5899963378906,292.3999938964844,298.8900146484375,631640,SAPPHIRE
2024-03-01,300.4100036621094,306.0,295.3999938964844,300.42999267578125,933650,SAPPHIRE
2024-03-04,302.19000244140625,309.0299987792969,299.4700012207031,303.20001220703125,289795,SAPPHIRE
2024-03-05,299.4599914550781,304.0,297.8599853515625,303.7099914550781,154695,SAPPHIRE
2024-03-06,299.8399963378906,305.0400085449219,296.0,299.4599914550781,735865,SAPPHIRE
2024-03-07,300.17999267578125,305.5,298.5,302.8500061035156,2153430,SAPPHIRE
2024-03-11,297.7099914550781,305.0,292.0,304.6700134277344,433415,SAPPHIRE
2024-03-12,288.010009765625,302.739990234375,285.0400085449219,296.29998779296875,654590,SAPPHIRE
2024-03-13,278.17999267578125,298.0799865722656,274.0299987792969,288.1000061035156,1089210,SAPPHIRE
2024-03-14,273.75,280.0,271.1400146484375,273.55999755859375,619665,SAPPHIRE
2024-03-15,288.05999755859375,299.55999755859375,271.489990234375,275.8599853515625,3632110,SAPPHIRE
2024-03-18,292.80999755859375,297.8299865722656,289.75,289.989990234375,370995,SAPPHIRE
2024-03-19,303.7699890136719,306.0,290.6400146484375,291.0,1989695,SAPPHIRE
2024-03-20,310.6499938964844,323.32000732421875,303.6000061035156,303.6000061035156,6203000,SAPPHIRE
2024-03-21,316.6400146484375,323.0,312.0299987792969,315.79998779296875,1383750,SAPPHIRE
2024-03-22,317.70001220703125,336.0,314.70001220703125,318.0,3758150,SAPPHIRE
2024-03-26,317.54998779296875,327.92999267578125,315.82000732421875,321.7799987792969,1370670,SAPPHIRE
2024-03-27,320.6300048828125,324.510009765625,306.3699951171875,318.20001220703125,1446310,SAPPHIRE
2024-03-28,313.7900085449219,327.0,310.82000732421875,318.45001220703125,751465,SAPPHIRE
2024-04-01,319.9599914550781,327.6499938964844,316.3999938964844,316.5199890136719,560965,SAPPHIRE
2024-04-02,311.19000244140625,322.20001220703125,310.1000061035156,322.0,405165,SAPPHIRE
2024-04-03,302.20001220703125,313.0,301.19000244140625,311.7799987792969,1179385,SAPPHIRE
2024-04-04,299.1300048828125,308.0,292.6700134277344,302.80999755859375,561035,SAPPHIRE
2024-04-05,305.1000061035156,309.1700134277344,299.5899963378906,299.5899963378906,569630,SAPPHIRE
2024-04-08,302.010009765625,308.5,300.45001220703125,303.0,181390,SAPPHIRE
2024-04-09,305.6499938964844,309.9800109863281,302.6199951171875,303.6000061035156,800825,SAPPHIRE
2024-04-10,302.8800048828125,309.6000061035156,302.0,308.0,1183685,SAPPHIRE
